ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,uncertainty_rate,call_date,actual_date,CAR+1,CAR+5,CAR+10,CAR+20,CAR-1,CAR-5,CAR-10,event_day_CAR,label
ABT,2024-10-16,Healthcare,0.42,0.0533,0.5267,0.3667,3.7927,2024-10-16,2024-10-16,0.000509,0.000527,-0.02467,-0.043225,0.010906,0.011976,0.018043,0.000509,0
ABT,2025-01-22,Healthcare,0.46,0.0733,0.4667,0.3867,5.5568,2025-01-22,2025-01-22,0.04073,0.093218,0.124904,0.12417,0.002855,0.005932,0.028789,0.04073,1
ABT,2025-04-16,Healthcare,0.42,0.0667,0.5133,0.3533,6.4378,2025-04-16,2025-04-16,0.008442,-0.042474,-0.053319,-0.095132,0.049799,0.067518,0.056488,0.008442,0
ABT,2025-07-17,Healthcare,0.3867,0.06,0.5533,0.3267,7.8984,2025-07-17,2025-07-17,0.026954,0.032411,0.0407,0.045849,-0.091363,-0.097477,-0.109609,0.026954,1
ABT,2025-10-15,Healthcare,0.46,0.0533,0.4867,0.4067,6.1216,2025-10-15,2025-10-15,-0.007249,-0.015541,-0.072185,-0.032243,-0.028784,-0.019815,-0.020899,-0.007249,0
ABT,2026-01-22,Healthcare,0.46,0.1,0.44,0.36,4.3715,2026-01-22,2026-01-22,-0.011319,-0.030547,0.020816,0.032493,-0.105613,-0.12472,-0.139872,-0.011319,1
AMZN,2023-04-27,Technology,0.32,0.1,0.58,0.22,4.9439,2023-04-27,2023-04-27,-0.048328,-0.035344,0.022169,0.041737,0.026196,0.056608,0.075025,-0.048328,1
AMZN,2023-08-03,Technology,0.3933,0.02,0.5867,0.3733,2.9928,2023-08-03,2023-08-03,0.087216,0.081386,0.067291,0.067228,0.008326,0.013213,-0.000693,0.087216,1
AMZN,2023-10-26,Technology,0.4333,0.0267,0.54,0.4067,3.6206,2023-10-26,2023-10-26,0.072861,0.110581,0.124274,0.123607,-0.003019,-0.03622,-0.047747,0.072861,1
AMZN,2024-02-01,Technology,0.4467,0.0267,0.5267,0.42,3.5651,2024-02-01,2024-02-01,0.068139,0.047655,0.039862,0.070566,0.013201,0.007301,0.01098,0.068139,1
AMZN,2024-04-30,Technology,0.3667,0.0467,0.5867,0.32,3.6769,2024-04-30,2024-04-30,0.026104,0.048428,0.0265,-0.007935,-0.017094,-0.018029,-0.042307,0.026104,1
AMZN,2024-08-01,Technology,0.3667,0.0467,0.5867,0.32,3.3362,2024-08-01,2024-08-01,-0.069229,-0.076494,-0.053731,-0.093171,-0.001402,0.01492,0.019203,-0.069229,0
AMZN,2024-10-31,Technology,0.4467,0.02,0.5333,0.4267,3.179,2024-10-31,2024-10-31,0.057636,0.079449,0.091095,0.055656,-0.013241,0.018407,0.017517,0.057636,1
AMZN,2025-02-06,Technology,0.4067,0.0467,0.5467,0.36,4.2673,2025-02-06,2025-02-06,-0.031377,-0.041047,-0.08264,-0.115586,0.007788,0.015742,0.02011,-0.031377,0
AMZN,2025-05-01,Technology,0.32,0.04,0.64,0.28,7.9809,2025-05-01,2025-05-01,-0.016001,-0.001916,0.021425,0.0225,0.024255,-0.001927,0.028618,-0.016001,1
AMZN,2025-07-31,Technology,0.3867,0.06,0.5533,0.3267,4.2218,2025-07-31,2025-07-31,-0.066306,-0.04717,-0.033731,-0.037364,0.020781,0.011784,0.039261,-0.066306,0
AMZN,2025-10-30,Technology,0.38,0.04,0.58,0.34,2.625,2025-10-30,2025-10-30,0.092565,0.104554,0.077509,0.04125,-0.021308,-0.004007,0.010072,0.092565,1
